,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,raisedhands
0,0,KW,KuwaIT,lowerlevel,G-04,A,15.0
1,0,KW,KuwaIT,lowerlevel,G-04,A,20.0
2,0,KW,KuwaIT,lowerlevel,G-04,A,10.0
3,0,KW,KuwaIT,lowerlevel,G-04,A,30.0
4,0,KW,KuwaIT,lowerlevel,G-04,A,40.0
5,1,KW,KuwaIT,lowerlevel,G-04,A,42.0
6,0,KW,KuwaIT,MiddleSchool,G-07,A,35.0
7,0,KW,KuwaIT,MiddleSchool,G-07,A,50.0
8,1,KW,KuwaIT,MiddleSchool,G-07,A,12.0
9,1,KW,KuwaIT,MiddleSchool,G-07,B,70.0
10,0,KW,KuwaIT,MiddleSchool,G-07,A,50.0
11,0,KW,KuwaIT,MiddleSchool,G-07,B,19.0
12,0,KW,KuwaIT,lowerlevel,G-04,A,5.0
13,0,lebanon,lebanon,MiddleSchool,G-08,A,33.5
14,1,KW,KuwaIT,MiddleSchool,G-08,A,62.0
15,1,KW,KuwaIT,MiddleSchool,G-06,A,30.0
16,0,KW,KuwaIT,MiddleSchool,G-07,B,36.0
17,0,KW,KuwaIT,MiddleSchool,G-07,A,55.0
18,1,KW,KuwaIT,MiddleSchool,G-07,A,69.0
19,0,KW,KuwaIT,MiddleSchool,G-07,B,70.0
20,1,KW,KuwaIT,MiddleSchool,G-07,A,60.0
21,1,KW,KuwaIT,MiddleSchool,G-07,B,37.5
22,0,KW,KuwaIT,MiddleSchool,G-07,A,15.0
23,0,KW,KuwaIT,MiddleSchool,G-07,A,2.0
24,0,KW,KuwaIT,MiddleSchool,G-07,B,0.0
25,0,KW,KuwaIT,MiddleSchool,G-07,A,8.0
26,0,KW,KuwaIT,MiddleSchool,G-07,B,19.0
27,0,KW,KuwaIT,MiddleSchool,G-08,A,25.0
28,0,KW,KuwaIT,MiddleSchool,G-08,A,75.0
29,1,KW,KuwaIT,MiddleSchool,G-08,A,30.0
30,1,KW,KuwaIT,MiddleSchool,G-08,A,35.0
31,0,KW,KuwaIT,MiddleSchool,G-07,A,4.0
32,1,KW,KuwaIT,lowerlevel,G-07,A,2.0
33,0,KW,KuwaIT,lowerlevel,G-05,A,8.0
34,0,KW,KuwaIT,MiddleSchool,G-07,B,12.0
